;Ano;Mês;Dt.Lanç;Emissão;Venc;Tipo;Contrato;Parcela;Referente;Doc;C Nr / Pedido;Op/Proj;Classificação;Categoria;Prestador;Estab;CNPJ;Cod Datasul;Situação;Status;Valor R$
;2020;fev;03/02/20;03/02/20;20/02/20;CONTRATO;APN ;P 02/12 - 2020;Link Radio;122;963;0;CONECTIVIDADE;Internet;APN NETWORKS LTDA;I7 NÚCLEO;07.895.690/0001-33;261263;INATIVO;LANÇADO; 334,95 
;2020;fev;03/02/20;03/02/20;20/02/20;CONTRATO;ALLE TECNOLOGIA;P 02/12;Gestão de ERP Totvs 12;1868;994;O;DATASUL;Consultoria Software;ALLE TECNOLOGIA LTDA ME;I7 NÚCLEO;21.067.649/0001-08;1082;ATIVO;LANÇADO; 1.000,00 
;2020;fev;03/02/20;03/02/20;12/02/20;CONTRATO;VALIDEINFO WEB;P 06/12;Serviços Consulta Web;864;778;O;SISTEMAS;Consultoria;VALIDEINFO WEB;I7 NÚCLEO;13.342.264/0001-75;2108;ATIVO;LANÇADO; 150,00 
;2020;fev;11/02/20;03/02/20;20/03/20;CONTRATO;ALGAR TELECOM - I7;P 12/12;Internet;297;949;0;CONECTIVIDADE;Internet;ALGAR MULTIMIDIA S/A;I7 NÚCLEO;04.622.116/0010-04;983;INATIVO;LANÇADO; 3.071,55 
;2020;fev;04/02/20;04/02/20;24/02/20;CONTRATO;CONTI CONSULTORIA;Demanda;Consultoria em Sistemas - DP;154;991;O;SISTEMAS;Consultoria;CONTI CONSULT  EM TEC DA INFORMACAO LTDA;I7 NÚCLEO;29.318.831/0001-98;1256;ATIVO;LANÇADO; 1.789,33 
;2020;fev;19/02/20;04/02/20;05/03/20;CONTRATO;GRENKE - EQUIPLEX 2;Loc.Equip: Notebooks, Coletores;Fatura 2;14969;976;0;INFRA ;Locação;GC LOCAÇÃO DE EQUIP LTDA;EQUIPLEX;14.262.033/0001-14;2230;INATIVO;LANÇADO; 1.926,94 
;2020;fev;07/02/20;05/02/20;05/03/20;CONTRATO;ACTTIVE - DOCNIX;P 02/12;Licença de Uso;5485;640;O;SISTEMAS;Consultoria Software;ACTTIVE LTDA;EQUIPLEX;25.076.779/0001-50;21092;ATIVO;LANÇADO; 3.293,55 
;2020;fev;06/02/20;06/02/20;15/02/20;CONTRATO;CLARO CELULAR;Parcela;Celular - Equiplex;13090929;968;O;CONECTIVIDADE;Telefonia;CLARO S.A.;EQUIPLEX;40.432.544/0436-28;261010;ATIVO;LANÇADO; 385,40 
;2020;fev;06/02/20;06/02/20;15/02/20;CONTRATO;CLARO CELULAR;Parcela;Celular - Equiplex;948665669;968;O;CONECTIVIDADE;Telefonia;CLARO S.A.;EQUIPLEX;40.432.544/0436-28;261010;ATIVO;LANÇADO; 3.311,25 
;2020;fev;12/02/20;10/02/20;25/02/20;CONTRATO;BELLFONE - 2;Parcela;Serviços de telefonia;2566;633;0;CONECTIVIDADE;Locação;BELLFONE DIST PROD TELECOM INF LTDA;EQUIPLEX;57.621.229/0001-60;4884;INATIVO;LANÇADO; 3.296,37 
;2020;fev;12/02/20;12/02/20;25/02/20;CONTRATO;BELLFONE - 1;Parcela 27/36;Serviços de telefonia;2567;633;0;CONECTIVIDADE;Locação;BELLFONE DIST PROD TELECOM INF LTDA;EQUIPLEX;57.621.229/0001-60;4884;INATIVO;LANÇADO; 1.269,00 
;2020;fev;17/02/20;17/02/20;17/02/20;CONTRATO;VALCANAIA;Demanda;Consultoria Financeira;125;999;P;DATASUL;Consultoria;VALCANAIA SUPORTE EM TECNOLOGIA;I7 NÚCLEO;28.532.280/0001-06;8255;ATIVO;LANÇADO; 6.984,00 
;2020;fev;18/02/20;18/02/20;12/03/20;CONTRATO;VIRTOS BACKUP;Parcela 2 2020;Backup na Nuvem;12637;516;O;SEGURANCA;Consultoria;VIRTOS INFORMÁTICA LTDA;EQUIPLEX;03.348.929/0001-02;260982;ATIVO;LANÇADO; 780,00 
;2020;fev;21/02/20;21/02/20;12/03/20;CONTRATO;DIGITAL WORLD;Demanda;Loc.Impressoras e serviços;356;950;0;LOCAÇÃO;Locação;DIGITAL WORLD REPR. COM E SERV. LTDA;I7 NÚCLEO;05.022.145/0001-07;23707;INATIVO;LANÇADO; 2.431,92 
;2020;fev;21/02/20;21/02/20;21/02/20;CONTRATO;BELLFONE - 1;Parcela 27/36;Serviços de telefonia;166287;633;0;CONECTIVIDADE;Locação;BELLFONE DIST PROD TELECOM INF LTDA;EQUIPLEX;57.621.229/0001-60;4884;INATIVO;LANÇADO; 1.969,80 
;2020;fev;26/02/20;26/02/20;10/03/20;CONTRATO;LOCAWEB;Demanda;Hospedagem - tx anual;33530456;171;0;NET DOMINIOS;Internet;LOCAWEB - HOSPED INTERNET;EQUIPLEX;02.351.877/0001-52;260134;INATIVO;LANÇADO; 436,08 
;2020;fev;27/02/20;27/02/20;06/03/20;CONTRATO;CARLOS DIAS (MGC);Demanda;Consultoria Servidores;1113;980;O;TERCEIROS;Consultoria;CARLOS DIAS OLIVEIRA DOMINGUES;I7 NÚCLEO;11.083.929/0001-48;499;ATIVO;LANÇADO; 8.520,00 
;2020;mar;06/03/20;01/03/20;14/03/20;CONTRATO;OI - TELECOM GERAL - DDR;P 05/12;OI - DDR;211354;1006;0;CONECTIVIDADE;Telefonia;OI S.A.;EQUIPLEX;76.535.764/0328-51;20119;INATIVO;LANÇADO; 1.276,69 
;2020;mar;06/03/20;01/03/20;14/03/20;CONTRATO;OI - TELECOM GERAL - 0800;P 07/12;OI - 0800;173590;956;O;CONECTIVIDADE;Telefonia;OI S.A.;EQUIPLEX;76.535.764/0328-51;20119;ATIVO;LANÇADO; 378,44 
;2020;mar;05/03/20;05/03/20;15/03/20;CONTRATO;CLARO CELULAR;Parcela;Celular - Equiplex;13899946;968;O;CONECTIVIDADE;Telefonia;CLARO S.A.;EQUIPLEX;40.432.544/0436-28;261010;ATIVO;LANÇADO; 385,40 
;2020;mar;05/03/20;05/03/20;15/03/20;CONTRATO;CLARO CELULAR;Parcela;Celular - Equiplex;948665669;968;O;CONECTIVIDADE;Telefonia;CLARO S.A.;EQUIPLEX;40.432.544/0436-28;261010;ATIVO;LANÇADO; 5.249,79 
;2020;ago;21/08/20;21/08/20;25/08/20;CONTRATO;TSPLUS BRASIL 1;P 01/12;Link Radio - Acesso Internet;109227;891;0;CONECTIVIDADE;Consultoria;TSPLUS BRASIL CONSULT TECN LTDA;I7 NÚCLEO;37.129.192/0001-40;8801;INATIVO;LANÇADO; 230,00 
;2020;set;21/09/20;21/09/20;24/09/20;CONTRATO;TSPLUS BRASIL 1;P 02/12;Link Radio - Acesso Internet;110311;891;0;CONECTIVIDADE;Consultoria;TSPLUS BRASIL CONSULT TECN LTDA;I7 NÚCLEO;37.129.192/0001-40;8801;INATIVO;LANÇADO; 2.210,00 
;2020;out;21/10/20;21/10/20;23/10/20;CONTRATO;TSPLUS BRASIL 1;P 03/12;Link Radio - Acesso Internet;110852;891;0;CONECTIVIDADE;Consultoria;TSPLUS BRASIL CONSULT TECN LTDA;I7 NÚCLEO;37.129.192/0001-40;8801;INATIVO;LANÇADO; 2.546,00 
;2020;nov;21/11/20;21/11/20;25/11/20;CONTRATO;TSPLUS BRASIL 1;P 04/12;Link Radio - Acesso Internet;133882;891;0;CONECTIVIDADE;Consultoria;TSPLUS BRASIL CONSULT TECN LTDA;I7 NÚCLEO;37.129.192/0001-40;8801;INATIVO;LANÇADO; 2.546,00 
;2020;dez;21/12/20;21/12/20;22/12/20;CONTRATO;TSPLUS BRASIL 1;P 05/12;Link Radio - Acesso Internet;133883;891;0;CONECTIVIDADE;Consultoria;TSPLUS BRASIL CONSULT TECN LTDA;I7 NÚCLEO;37.129.192/0001-40;8801;INATIVO;LANÇADO; 2.546,00 
;2021;jan;25/01/21;25/01/21;22/01/21;CONTRATO;TSPLUS BRASIL 1;P 06/12;Link Radio - Acesso Internet;134957;891;0;CONECTIVIDADE;Consultoria;TSPLUS BRASIL CONSULT TECN LTDA;I7 NÚCLEO;37.129.192/0001-40;8801;INATIVO;LANÇADO; 2.546,00 
;2021;fev;21/02/21;21/02/21;23/02/21;CONTRATO;TSPLUS BRASIL 1;P 07/12;Link Radio - Acesso Internet;134958;891;0;CONECTIVIDADE;Consultoria;TSPLUS BRASIL CONSULT TECN LTDA;I7 NÚCLEO;37.129.192/0001-40;8801;INATIVO;LANÇADO; 2.546,00 
;2021;mar;19/03/21;19/03/21;19/04/21;CONTRATO;NEOMIND - P3916/18;P 01/12;Licença de Uso Fusion;12702;954;O;SISTEMAS;Consultoria Software;NEOMIND SOLUTIONS INFORMATICA LTDA;I7 NÚCLEO;08.032.121/0001-27;909;ATIVO;LANÇADO; 2.094,08 
;2021;mar;21/03/21;21/03/21;20/03/21;CONTRATO;TSPLUS BRASIL 1;P 08/12;Link Radio - Acesso Internet;135733;891;0;CONECTIVIDADE;Consultoria;TSPLUS BRASIL CONSULT TECN LTDA;I7 NÚCLEO;37.129.192/0001-40;8801;INATIVO;LANÇADO; 3.125,00 
;2021;mar;07/04/21;24/03/21;15/04/21;CONTRATO;CLARO CELULAR;Parcela 01/24;Celular - Equiplex;948665669;968;O;CONECTIVIDADE;Telefonia;CLARO S.A.;EQUIPLEX;40.432.544/0436-28;261010;ATIVO;LANÇADO; 2.687,25 
;2021;abr;01/04/21;01/04/21;10/04/21;CONTRATO;C&C COMPUTER CLOUD;Parcela 34/36;Computação na Nuvem;4862;897;O;INFRA - BANCO DE DADOS;Cloud;C&C COMPUTAÇÃO E COMUN.INFORMATICA LTDA;I7 NÚCLEO;69.159.291/0001-61;8815;ATIVO;LANÇADO; 42.500,00 
;2021;abr;01/04/21;01/04/21;15/04/21;CONTRATO;HPFS - LOCAÇÃO DESKTOP;P 12/12;Locação de Desktops;15042021;715;O;LOCAÇÃO;Locação;HP FIN SERV ARREND MERC;I7 NÚCLEO;97.406.706/0001-90;1639;ATIVO;LANÇADO; 15.045,05 
