;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;Ano;Mês;Dt.Lanç;Emissão;Venc;Tipo;Contrato;Parcela;Descrição;Doc;C Nr / Pedido;Conta;Op/Proj;Classificação;Categoria;Prestador;Descrição2;Estab;CNPJ;Cod Datasul;Situação;Status; Valor R$ 
;2024;jan;09/01/24;09/01/24;18/01/24;CONTRATO;CONTI CONSULTORIA;;Consultoria em Sistemas - DP;153;991;4210317;O;SUPORTE SISTEMA RH;Consultoria;CONTI CONSULT  EM TEC DA INFORMACAO LTDA;Desenvolvimento  e  manutenção  de  sistemas através  de  profissionais  especializados  cedidos  pela CONTRATADA  na consultoria,  Treinamento, Análise, Desenvolvimento e Gerenciamento nos sistemas, Totvs 12 Linha Datasul, HCM, Progress;I7 NÚCLEO;29.318.831/0001-98;1256;ATIVO;LANÇADO; 1.853,10 
;2024;jan;09/01/24;09/01/24;22/01/24;CONTRATO;ALGAR-PABX-EQUIPLEX;P 01/12;Internet-Voz;2560499;1326;4210508;O;CONECTIVIDADE;Internet;ALGAR TELECOM S/A;Serviços de Internet;EQUIPLEX;71.208.516/0103-07;12588;ATIVO;LANÇADO; 799,00 
;2024;jan;09/01/24;09/01/24;24/02/24;CONTRATO;TOTVS 12 - AAJIC9/03;P 01/12;TOTVS 12 - AAJIC9/03;1062761;134;4210317;0;0;Consultoria Software;TOTVS S.A.;TOTVS 12 - AAJIC9/03;EQUIPLEX;53.113.791/0017-90;325;ATIVO;LANÇADO; 5.525,10 
;2024;jan;09/01/24;09/01/24;24/02/24;CONTRATO;TOTVS 12 - AAJIC9/03;P 01/12;TOTVS 12 - AAJIC9/03;1062762;134;4210317;0;0;Consultoria Software;TOTVS S.A.;TOTVS 12 - AAJIC9/03;EQUIPLEX;53.113.791/0017-90;325;ATIVO;LANÇADO; 198,80 
;2024;jan;11/01/24;10/01/24;20/01/24;CONTRATO;CLICKSIGN;P 01/12;Certificação Digital;123102;1334;4210317;O;REGULATÓRIO;Consultoria Software;CLICKSIGN GESTAO DE DOCUMENTOS S/A;Plataforma de Assinaturas e Documentos;I7 NÚCLEO;12.499.520/0001-70;1385;ATIVO;LANÇADO; 242,80 
;2024;jan;11/01/24;10/01/24;05/02/24;CONTRATO;SETI - I7;P 01/12;Internet Controlado Servidor Proxy;55575;1020;4210317;O;CONECTIVIDADE;Consultoria;SETI SEG E TECNOLOGIA INTERNET LTDA;Servidor Proxy Cloud;I7 NÚCLEO;05.348.924/0001-05;9268;ATIVO;LANÇADO; 1.513,08 
;2024;jan;15/01/24;10/01/24;22/01/24;CONTRATO;TSPLUS BRASIL;P 01/12;Link Radio - Acesso Internet;4538;1531;4210317;O;CONECTIVIDADE;Consultoria;TSPLUS BRASIL CONSULT TECN LTDA;Licenciamento Software Conexão Remota;I7 NÚCLEO;54.377.434/0001-34;9762;ATIVO;LANÇADO; 3.570,80 
;2024;jan;11/01/24;11/01/24;20/01/24;CONTRATO;CLARO NET - HT3;P 01/12;Internet HT3;5789552;1073;4210317;O;CONECTIVIDADE HT3;Internet;CLARO NEXT TELECOMUNICAÇÕES S.A.;Serviços de Internet HT3;I7 NÚCLEO;66.970.229/0019-96;23772;ATIVO;LANÇADO; 185,00 
;2024;jan;11/01/24;11/01/24;22/01/24;CONTRATO;EUAX-ARTIA;P 01/12;Licença de uso Programa Artia;44606;668;4210317;O;LICENCAS SISTEMAS;Consultoria Software;EUAX - ARTIA DESENVOLVIMENTO DE SISTEMAS LTDA;Referente cessao de direito de uso do programa Artia.;I7 NÚCLEO;17.400.505/0001-46;1354;ATIVO;LANÇADO; 588,00 
;2024;jan;21/01/24;11/01/24;10/02/24;PEDIDO;INGRAM902-HCOMPANY;Demanda;Compra de Notebook;400565;66187;9010103;0;0;Consultoria;INGRAM MICRO BRASIL LTDA;Consultoria;H.SOLUÇÕES;01.771.935/0010-25;902;ATIVO;LANÇADO; 168.074,87 
;2024;jan;15/01/24;15/01/24;24/01/24;CONTRATO;FEEDZ;P 01/12;CDU-Licenciamento;45496;1333;4210317;O;LICENCAS SISTEMAS RH;Consultoria Software;FEEDZ TECNOLOGIA LTDA (SUBST 1316);CDU-LICENCIAMENTO OU CESSAO DE DIREITO;I7 NÚCLEO;30.457.205/0001-61;12617;ATIVO;LANÇADO; 7.144,00 
;2024;jan;15/01/24;15/01/24;14/02/24;CONTRATO;TOTVS 02 - 400003/01;P 01/12;TOTVS 2 - 400003/01;1063923;134;4210317;0;0;Consultoria Software;TOTVS S.A.;TOTVS 02 - 400003/01;EQUIPLEX;53.113.791/0017-90;325;ATIVO;LANÇADO; 1.704,00 
;2024;jan;15/01/24;15/01/24;12/02/24;CONTRATO;TOTVS 03 - 365084/01 - 400003/01;P 01/12;TOTVS 3 - 365084/01 - 400003/01;1064025;134;4210317;0;0;Consultoria Software;TOTVS S.A.;TOTVS 03 - 365084/01 - 400003/01;EQUIPLEX;53.113.791/0017-90;325;ATIVO;LANÇADO; 10.389,29 
;2024;jan;15/01/24;15/01/24;23/02/24;CONTRATO;TOTVS 04 - 943448/02;P 01/12;TOTVS 4 - 943448/02;1064405;134;4210317;0;0;Consultoria Software;TOTVS S.A.;TOTVS 04 - 943448/02;EQUIPLEX;53.113.791/0017-90;325;ATIVO;LANÇADO; 3.719,29 
;2024;jan;15/01/24;15/01/24;20/02/24;CONTRATO;TOTVS 05 - A48004/04;P 01/12;TOTVS5 - A48004/04;1064373;134;4210317;0;0;Consultoria Software;TOTVS S.A.;TOTVS 05 - A48004/04;EQUIPLEX;53.113.791/0017-90;325;ATIVO;LANÇADO; 4.642,20 
;2024;jan;15/01/24;15/01/24;20/02/24;CONTRATO;TOTVS 06 - AACMBM/02 - AAD762/02 - AAETUY/01 - AAIIIF/01 - AAIZC5/01 - AAJQD4/01 - AAKFPN/01 - AALITT/01 - AAHVOT/03 - AAIBOR/04 - AADEV1/08;P 01/12;TOTVS6 - AACMBM/02 - AAD762/02 - AACMP4/01 - AADVE1/08;1064205;134;4210317;0;0;Consultoria Software;TOTVS S.A.;TOTVS 06 - AACMBM/02 - AAD762/02 - AACMP4/01 - AADVE1/08;EQUIPLEX;53.113.791/0017-90;325;ATIVO;LANÇADO; 4.635,00 
;2024;jan;15/01/24;15/01/24;24/02/24;CONTRATO;TOTVS 07 - AACRAH/03;P 01/12;TOTVS7 - AACRAH/03;1064428;134;4210317;0;0;Consultoria Software;TOTVS S.A.;TOTVS 07 - AACRAH/03;EQUIPLEX;53.113.791/0017-90;325;INATIVO;LANÇADO; 2.478,95 
;2024;jan;15/01/24;15/01/24;14/02/24;CONTRATO;TOTVS 08 - AAHVOT/03;P 01/12;TOTVS 8 - AAHVOT/03;1064147;134;4210317;0;0;Consultoria Software;TOTVS S.A.;TOTVS 08 - AAHVOT/03;EQUIPLEX;53.113.791/0017-90;325;ATIVO;LANÇADO; 1.421,48 
;2024;jan;15/01/24;15/01/24;20/02/24;CONTRATO;SUPERI - G8NET - I7;P 01/12;Serviço de Internet;13947;1008;4210508;O;CONECTIVIDADE;Internet;SUPERI TELECOM LTDA;Serviços de Telefonia / Internet;I7 NÚCLEO;10.455.507/0001-93;9241;ATIVO;LANÇADO; 1.700,00 
;2024;jan;16/01/24;16/01/24;15/02/24;CONTRATO;CORE TELECOM;P 01/12;Locação de Firewall;4084;1064;4210317;0;0;Consultoria;CORE SERVIÇOS E INFORMATICA;Locação de Firewall;I7 NÚCLEO;11.527.773/0001-47;9488;INATIVO;LANÇADO; 988,70 
;2024;jan;17/01/24;17/01/24;17/02/24;CONTRATO;ENTERNESS;P 01/12;Gestão de Whatsapp;1116;1271;4210317;O;WHATSAPP GRUPO;Consultoria Software;ENTERNESS COM MAQ E EQUIP INFORM LTDA;Setup Easy Channel Omni;H.SOLUÇÕES;08.348.958/0001-80;11891;ATIVO;LANÇADO; 2.348,50 
;2024;jan;17/01/24;17/01/24;17/02/24;CONTRATO;ENTERNESS;P 01/12;Gestão de Whatsapp;1117;1271;4210317;O;WHATSAPP GRUPO;Consultoria Software;ENTERNESS COM MAQ E EQUIP INFORM LTDA;Setup Easy Channel Omni;H.SOLUÇÕES;08.348.958/0001-80;11891;ATIVO;LANÇADO; 1.006,50 
;2024;jan;21/01/24;17/01/24;27/01/24;CONTRATO;VIVO - EQUIPLEX;P 01/12;NF 1 - PRINCIPAL;16512521;1112;4210508;O;CONECTIVIDADE;Internet;TELEFONICA BRASIL S.A.;Serviços de Internet - EQUIPLEX;EQUIPLEX;02.558.157/0022-97;261618;ATIVO;LANÇADO; 1.504,18 
;2024;jan;21/01/24;17/01/24;27/01/24;CONTRATO;VIVO - EQUIPLEX - MONITORA;P 01/12;NF 2 - MONITORAMENTO;21012024;1112;4210508;O;CONECTIVIDADE;Internet;TELEFONICA BRASIL S.A.;Serviços de Internet - EQUIPLEX;EQUIPLEX;02.558.157/0022-97;261618;ATIVO;LANÇADO; 52,51 
;2024;jan;25/01/24;17/01/24;19/02/24;PEDIDO;INGR-261597-EQUIPLEX;Demanda;Switch Aruba;386736;66341;9010103;0;0;Consultoria;INGRAM MICRO BRASIL LTDA;Consultoria;EQUIPLEX;01.771.935/0008-00;261597;ATIVO;LANÇADO; 4.018,96 
;2024;jan;18/01/24;18/01/24;02/02/24;CONTRATO;DW SERVICE;P 01/12;Loc.Impressoras e serviços;4119;1260;4210318;O;IMPRESSORSA GRUPO;Locação;DW SERVICE LTDA;Locação de Impressoras e serviços;I7 NÚCLEO;08.906.780/0001-45;2266;ATIVO;LANÇADO; 694,80 
;2024;jan;18/01/24;18/01/24;02/02/24;CONTRATO;DW SERVICE;P 01/12;Loc.Impressoras e serviços;4118;1260;4210318;O;IMPRESSORSA GRUPO;Locação;DW SERVICE LTDA;Locação de Impressoras e serviços;I7 NÚCLEO;08.906.780/0001-45;2266;ATIVO;LANÇADO; 4.072,54 
